ID_Orden,Fecha,ID_Cliente,ID_Producto,Nombre_Producto,Categoria,Cantidad,Ingreso_Total,COGS_Total,Costo_Envio,Ganancia_Bruta,Ciudad_Destino,Fuente_Adquisicion,Estado_Envio,Mes,Nombre_Mes,Dia_Semana,Semana_Anio
ORD-1028,2026-03-16 00:01:00,CLI-6824,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.55,18.45,Bogotá,Campaña_Vaso_Vertical,En tránsito,3,March,Monday,12
ORD-1029,2026-02-01 10:29:00,CLI-5002,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.47,19.53,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Sunday,5
ORD-1030,2025-11-21 02:55:00,CLI-6587,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,5.95,42.05,Bogotá,Campaña_Vaso_Vertical,Entregado,11,November,Friday,47
ORD-1031,2026-03-17 04:17:00,CLI-5075,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.14,19.86,Cali,Orgánico_Instagram,Entregado,3,March,Tuesday,12
ORD-1032,2026-01-07 18:00:00,CLI-5191,P002,Mini Bicicleta Premium,Fitness,1,120,45,13.12,61.88,Medellín,Campaña_Bici_Carrusel,Entregado,1,January,Wednesday,2
ORD-1033,2026-03-19 23:32:00,CLI-6298,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.35,19.65,Bogotá,Campaña_Vaso_Vertical,Entregado,3,March,Thursday,12
ORD-1034,2026-04-16 12:44:00,CLI-5789,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.06,18.94,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Thursday,16
ORD-1035,2025-12-28 02:11:00,CLI-5037,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,5.81,16.19,Cali,Campaña_Vaso_Vertical,Entregado,12,December,Sunday,52
ORD-1036,2025-12-27 00:14:00,CLI-5161,P003,Soporte Magnético Carga,Auto,1,24,8,3.51,12.49,Bogotá,Directo,Entregado,12,December,Saturday,52
ORD-1037,2025-11-09 11:16:00,CLI-5741,P002,Mini Bicicleta Premium,Fitness,1,120,45,10.71,64.29,Barranquilla,Campaña_Bici_Carrusel,Entregado,11,November,Sunday,45
ORD-1038,2025-12-25 18:24:00,CLI-5010,P003,Soporte Magnético Carga,Auto,1,24,8,3.7,12.3,Barranquilla,Directo,Entregado,12,December,Thursday,52
ORD-1039,2026-03-02 08:17:00,CLI-5170,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,7.15,14.85,Cali,Orgánico_Instagram,Entregado,3,March,Monday,10
ORD-1040,2025-11-25 22:29:00,CLI-5695,P003,Soporte Magnético Carga,Auto,1,24,8,4.59,11.41,Bogotá,Campaña_Vaso_Vertical,Entregado,11,November,Tuesday,48
ORD-1041,2025-11-14 22:59:00,CLI-5000,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.71,18.29,Bogotá,Campaña_Bici_Carrusel,En tránsito,11,November,Friday,46
ORD-1042,2026-01-26 03:43:00,CLI-5480,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.25,63.75,Cali,Campaña_Bici_Carrusel,Entregado,1,January,Monday,5
ORD-1043,2026-02-17 06:15:00,CLI-5072,P003,Soporte Magnético Carga,Auto,1,24,8,4.14,11.86,Bogotá,Campaña_Bici_Carrusel,Entregado,2,February,Tuesday,8
ORD-1044,2026-02-22 18:47:00,CLI-5735,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.04,19.96,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Sunday,8
ORD-1045,2025-11-04 03:11:00,CLI-5076,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,7.58,14.42,Bucaramanga,Campaña_Vaso_Vertical,Entregado,11,November,Tuesday,45
ORD-1046,2026-03-05 16:25:00,CLI-6153,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.14,63.86,Medellín,Campaña_Bici_Carrusel,En tránsito,3,March,Thursday,10
ORD-1047,2026-02-06 00:04:00,CLI-5919,P003,Soporte Magnético Carga,Auto,1,24,8,6.26,9.74,Bogotá,Campaña_Vaso_Vertical,Entregado,2,February,Friday,6
ORD-1048,2026-02-25 09:44:00,CLI-6725,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.77,63.23,Bucaramanga,Directo,Entregado,2,February,Wednesday,9
ORD-1049,2026-03-23 22:35:00,CLI-6672,P003,Soporte Magnético Carga,Auto,2,48,16,5.46,26.54,Medellín,Directo,Entregado,3,March,Monday,13
ORD-1050,2025-11-15 19:46:00,CLI-5116,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.96,18.04,Bogotá,Orgánico_Instagram,Entregado,11,November,Saturday,46
ORD-1051,2025-11-13 19:56:00,CLI-5497,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.93,63.07,Bucaramanga,Campaña_Bici_Carrusel,Entregado,11,November,Thursday,46
ORD-1052,2025-11-15 17:20:00,CLI-5628,P002,Mini Bicicleta Premium,Fitness,2,240,90,10.74,139.26,Bucaramanga,Campaña_Vaso_Vertical,Entregado,11,November,Saturday,46
ORD-1053,2026-04-22 08:01:00,CLI-5975,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.71,63.29,Cali,Campaña_Bici_Carrusel,Entregado,4,April,Wednesday,17
ORD-1054,2026-03-29 20:17:00,CLI-6204,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,4.92,17.08,Barranquilla,Orgánico_Instagram,Entregado,3,March,Sunday,13
ORD-1055,2026-03-25 17:50:00,CLI-5389,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,5.75,16.25,Cali,Campaña_Bici_Carrusel,Entregado,3,March,Wednesday,13
ORD-1056,2026-01-20 08:08:00,CLI-6511,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.55,19.45,Bogotá,Campaña_Vaso_Vertical,Entregado,1,January,Tuesday,4
ORD-1057,2026-02-26 10:47:00,CLI-5002,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.54,17.46,Medellín,Campaña_Vaso_Vertical,En tránsito,2,February,Thursday,9
ORD-1058,2026-04-09 19:13:00,CLI-5001,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.74,17.26,Bogotá,Orgánico_Instagram,Entregado,4,April,Thursday,15
ORD-1059,2026-01-07 04:31:00,CLI-5428,P003,Soporte Magnético Carga,Auto,1,24,8,6.1,9.9,Cali,Campaña_Vaso_Vertical,Entregado,1,January,Wednesday,2
ORD-1060,2026-02-03 09:43:00,CLI-5003,P003,Soporte Magnético Carga,Auto,1,24,8,3.77,12.23,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Tuesday,6
ORD-1061,2026-04-06 22:19:00,CLI-6885,P003,Soporte Magnético Carga,Auto,1,24,8,4.89,11.11,Medellín,Campaña_Vaso_Vertical,Entregado,4,April,Monday,15
ORD-1062,2026-04-19 03:32:00,CLI-5286,P003,Soporte Magnético Carga,Auto,1,24,8,6.12,9.88,Bogotá,Campaña_Vaso_Vertical,En tránsito,4,April,Sunday,16
ORD-1063,2025-11-28 18:53:00,CLI-5841,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.22,19.78,Medellín,Campaña_Vaso_Vertical,Entregado,11,November,Friday,48
ORD-1064,2026-01-27 06:56:00,CLI-5481,P002,Mini Bicicleta Premium,Fitness,2,240,90,12.56,137.44,Cali,Campaña_Bici_Carrusel,Entregado,1,January,Tuesday,5
ORD-1065,2026-01-04 01:44:00,CLI-5966,P002,Mini Bicicleta Premium,Fitness,1,120,45,10.78,64.22,Medellín,Campaña_Bici_Carrusel,Entregado,1,January,Sunday,1
ORD-1066,2025-11-01 11:23:00,CLI-5177,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.06,17.94,Cali,Campaña_Vaso_Vertical,Entregado,11,November,Saturday,44
ORD-1067,2026-02-22 18:49:00,CLI-5002,P002,Mini Bicicleta Premium,Fitness,1,120,45,12.62,62.38,Barranquilla,Campaña_Bici_Carrusel,En tránsito,2,February,Sunday,8
ORD-1068,2026-04-26 05:05:00,CLI-5372,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.39,18.61,Medellín,Campaña_Vaso_Vertical,Entregado,4,April,Sunday,17
ORD-1069,2025-12-08 14:40:00,CLI-5630,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.13,19.87,Medellín,Campaña_Vaso_Vertical,Entregado,12,December,Monday,50
ORD-1070,2025-11-11 12:12:00,CLI-5392,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.13,63.87,Barranquilla,Campaña_Bici_Carrusel,En tránsito,11,November,Tuesday,46
ORD-1071,2026-03-24 13:52:00,CLI-5696,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,7.72,14.28,Bogotá,Campaña_Bici_Carrusel,Entregado,3,March,Tuesday,13
ORD-1072,2025-12-31 05:32:00,CLI-5216,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,6.68,41.32,Medellín,Campaña_Vaso_Vertical,Entregado,12,December,Wednesday,1
ORD-1073,2025-11-07 06:07:00,CLI-5213,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.96,18.04,Bucaramanga,Directo,Entregado,11,November,Friday,45
ORD-1074,2026-04-21 08:28:00,CLI-5012,P003,Soporte Magnético Carga,Auto,1,24,8,4.1,11.9,Bogotá,Campaña_Vaso_Vertical,En tránsito,4,April,Tuesday,17
ORD-1075,2025-11-10 16:03:00,CLI-5138,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,5.47,16.53,Barranquilla,Campaña_Vaso_Vertical,Entregado,11,November,Monday,46
ORD-1076,2026-01-18 07:46:00,CLI-5017,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,5.47,16.53,Cali,Campaña_Bici_Carrusel,Entregado,1,January,Sunday,3
ORD-1077,2026-01-11 02:22:00,CLI-6183,P003,Soporte Magnético Carga,Auto,1,24,8,6.2,9.8,Bogotá,Campaña_Vaso_Vertical,Entregado,1,January,Sunday,2
ORD-1078,2026-02-11 23:11:00,CLI-6954,P003,Soporte Magnético Carga,Auto,1,24,8,6.24,9.76,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Wednesday,7
ORD-1079,2025-11-30 08:54:00,CLI-6683,P003,Soporte Magnético Carga,Auto,1,24,8,3.84,12.16,Barranquilla,Campaña_Vaso_Vertical,Entregado,11,November,Sunday,48
ORD-1080,2025-11-28 20:21:00,CLI-5013,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,6.1,15.9,Bucaramanga,Campaña_Vaso_Vertical,Entregado,11,November,Friday,48
ORD-1081,2026-04-05 17:27:00,CLI-6534,P003,Soporte Magnético Carga,Auto,1,24,8,3.65,12.35,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Sunday,14
ORD-1082,2025-11-12 14:53:00,CLI-5139,P003,Soporte Magnético Carga,Auto,1,24,8,3.31,12.69,Bucaramanga,Directo,Entregado,11,November,Wednesday,46
ORD-1083,2026-04-21 06:43:00,CLI-5300,P003,Soporte Magnético Carga,Auto,1,24,8,4.39,11.61,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Tuesday,17
ORD-1084,2026-01-24 21:16:00,CLI-6142,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.44,63.56,Cali,Campaña_Vaso_Vertical,Entregado,1,January,Saturday,4
ORD-1085,2026-01-16 17:18:00,CLI-5482,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.68,19.32,Medellín,Orgánico_Instagram,Entregado,1,January,Friday,3
ORD-1086,2026-01-15 18:55:00,CLI-5025,P002,Mini Bicicleta Premium,Fitness,1,120,45,10.88,64.12,Cali,Campaña_Bici_Carrusel,Entregado,1,January,Thursday,3
ORD-1087,2026-04-23 05:56:00,CLI-5855,P003,Soporte Magnético Carga,Auto,1,24,8,5.15,10.85,Bogotá,Orgánico_Instagram,Entregado,4,April,Thursday,17
ORD-1088,2025-11-01 10:22:00,CLI-5009,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.36,63.64,Bucaramanga,Campaña_Vaso_Vertical,Entregado,11,November,Saturday,44
ORD-1089,2026-04-17 10:59:00,CLI-6755,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.89,63.11,Bucaramanga,Orgánico_Instagram,Entregado,4,April,Friday,16
ORD-1090,2026-03-02 05:47:00,CLI-6093,P003,Soporte Magnético Carga,Auto,1,24,8,5.28,10.72,Medellín,Campaña_Vaso_Vertical,Entregado,3,March,Monday,10
ORD-1091,2026-04-08 11:26:00,CLI-5373,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.03,19.97,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Wednesday,15
ORD-1092,2026-01-19 07:40:00,CLI-5017,P003,Soporte Magnético Carga,Auto,2,48,16,5.72,26.28,Medellín,Campaña_Bici_Carrusel,En tránsito,1,January,Monday,4
ORD-1093,2026-03-02 20:51:00,CLI-5199,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,6.3,41.7,Bogotá,Orgánico_Instagram,Entregado,3,March,Monday,10
ORD-1094,2026-04-11 19:38:00,CLI-5000,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,5.38,16.62,Bucaramanga,Campaña_Vaso_Vertical,Entregado,4,April,Saturday,15
ORD-1095,2026-01-02 05:02:00,CLI-6966,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,6.77,-18.77,Bogotá,Campaña_Bici_Carrusel,Devuelto,1,January,Friday,1
ORD-1096,2025-11-28 14:30:00,CLI-5663,P003,Soporte Magnético Carga,Auto,1,24,8,3.96,12.04,Cali,Campaña_Vaso_Vertical,Entregado,11,November,Friday,48
ORD-1097,2026-02-27 01:42:00,CLI-6557,P003,Soporte Magnético Carga,Auto,2,48,16,4.97,27.03,Bogotá,Campaña_Vaso_Vertical,Entregado,2,February,Friday,9
ORD-1098,2025-12-05 15:51:00,CLI-5312,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.75,18.25,Medellín,Campaña_Vaso_Vertical,Entregado,12,December,Friday,49
ORD-1099,2026-02-22 20:54:00,CLI-5174,P003,Soporte Magnético Carga,Auto,2,48,16,5.75,26.25,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Sunday,8
ORD-1100,2026-03-21 15:13:00,CLI-5847,P003,Soporte Magnético Carga,Auto,1,24,8,5.99,10.01,Medellín,Campaña_Vaso_Vertical,Entregado,3,March,Saturday,12
ORD-1101,2026-01-06 08:26:00,CLI-5032,P004,Cojín Ergonómico Gel,Oficina/Auto,1,34,12,7.32,14.68,Bucaramanga,Orgánico_Instagram,Entregado,1,January,Tuesday,2
ORD-1102,2026-03-05 21:23:00,CLI-5624,P003,Soporte Magnético Carga,Auto,1,24,8,4.02,11.98,Medellín,Directo,Entregado,3,March,Thursday,10
ORD-1103,2025-12-31 09:16:00,CLI-5001,P003,Soporte Magnético Carga,Auto,1,24,8,4.31,11.69,Bogotá,Orgánico_Instagram,En tránsito,12,December,Wednesday,1
ORD-1104,2025-12-09 07:53:00,CLI-5579,P003,Soporte Magnético Carga,Auto,1,24,8,4.45,11.55,Bogotá,Directo,Entregado,12,December,Tuesday,50
ORD-1105,2026-02-15 13:54:00,CLI-5333,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,4.74,43.26,Medellín,Campaña_Vaso_Vertical,En tránsito,2,February,Sunday,7
ORD-1106,2026-02-16 13:17:00,CLI-6217,P003,Soporte Magnético Carga,Auto,1,24,8,6.01,9.99,Bucaramanga,Directo,Entregado,2,February,Monday,8
ORD-1107,2026-03-28 12:59:00,CLI-6744,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.93,63.07,Barranquilla,Campaña_Vaso_Vertical,Entregado,3,March,Saturday,13
ORD-1108,2026-02-08 14:18:00,CLI-6786,P003,Soporte Magnético Carga,Auto,1,24,8,4.91,11.09,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Sunday,6
ORD-1109,2025-12-27 16:39:00,CLI-5180,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.16,63.84,Bogotá,Campaña_Bici_Carrusel,En tránsito,12,December,Saturday,52
ORD-1110,2026-01-26 22:49:00,CLI-5424,P002,Mini Bicicleta Premium,Fitness,2,240,90,12.54,137.46,Barranquilla,Campaña_Bici_Carrusel,Entregado,1,January,Monday,5
ORD-1111,2026-02-28 04:21:00,CLI-5236,P003,Soporte Magnético Carga,Auto,1,24,8,6.24,9.76,Bogotá,Campaña_Vaso_Vertical,Entregado,2,February,Saturday,9
ORD-1112,2026-04-01 19:15:00,CLI-5864,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.74,18.26,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Wednesday,14
ORD-1113,2026-02-27 06:12:00,CLI-5569,P003,Soporte Magnético Carga,Auto,1,24,8,3.45,12.55,Bogotá,Campaña_Vaso_Vertical,Entregado,2,February,Friday,9
ORD-1114,2026-01-23 11:31:00,CLI-5412,P003,Soporte Magnético Carga,Auto,2,48,16,5.58,26.42,Cali,Campaña_Vaso_Vertical,Entregado,1,January,Friday,4
ORD-1115,2026-02-16 08:36:00,CLI-6765,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.25,17.75,Bogotá,Directo,Entregado,2,February,Monday,8
ORD-1116,2025-11-14 11:56:00,CLI-5317,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.17,-56.17,Bucaramanga,Campaña_Vaso_Vertical,Devuelto,11,November,Friday,46
ORD-1117,2026-04-16 01:22:00,CLI-5074,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.01,17.99,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Thursday,16
ORD-1118,2025-11-06 21:12:00,CLI-5023,P001,Vaso Térmico Inteligente Auto,Auto,2,78,30,4.21,43.79,Medellín,Campaña_Vaso_Vertical,Entregado,11,November,Thursday,45
ORD-1119,2026-03-25 07:26:00,CLI-5341,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.15,18.85,Cali,Campaña_Vaso_Vertical,Entregado,3,March,Wednesday,13
ORD-1120,2026-04-05 20:43:00,CLI-5035,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.64,17.36,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Sunday,14
ORD-1121,2025-12-12 10:37:00,CLI-5320,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.07,-19.07,Bogotá,Campaña_Vaso_Vertical,Devuelto,12,December,Friday,50
ORD-1122,2026-01-19 19:39:00,CLI-5002,P002,Mini Bicicleta Premium,Fitness,2,240,90,12.53,137.47,Cali,Campaña_Bici_Carrusel,Entregado,1,January,Monday,4
ORD-1123,2025-12-21 02:35:00,CLI-6640,P003,Soporte Magnético Carga,Auto,1,24,8,5.08,10.92,Bogotá,Campaña_Vaso_Vertical,Entregado,12,December,Sunday,51
ORD-1124,2026-04-28 10:17:00,CLI-5042,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.3,17.7,Bogotá,Campaña_Vaso_Vertical,Entregado,4,April,Tuesday,18
ORD-1125,2026-03-25 01:24:00,CLI-5192,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.79,19.21,Medellín,Campaña_Bici_Carrusel,Entregado,3,March,Wednesday,13
ORD-1126,2026-03-10 22:06:00,CLI-5891,P002,Mini Bicicleta Premium,Fitness,1,120,45,11.52,63.48,Barranquilla,Campaña_Vaso_Vertical,Entregado,3,March,Tuesday,11
ORD-1127,2025-11-28 14:47:00,CLI-5299,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.63,17.37,Medellín,Campaña_Vaso_Vertical,Entregado,11,November,Friday,48
ORD-1128,2025-12-10 14:51:00,CLI-5001,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,4.28,19.72,Bogotá,Campaña_Vaso_Vertical,Entregado,12,December,Wednesday,50
ORD-1129,2026-04-07 18:22:00,CLI-6513,P003,Soporte Magnético Carga,Auto,1,24,8,5.62,10.38,Medellín,Campaña_Bici_Carrusel,Entregado,4,April,Tuesday,15
ORD-1130,2026-04-01 09:09:00,CLI-5009,P003,Soporte Magnético Carga,Auto,1,24,8,4.27,11.73,Medellín,Campaña_Bici_Carrusel,Entregado,4,April,Wednesday,14
ORD-1131,2026-01-11 15:23:00,CLI-5020,P003,Soporte Magnético Carga,Auto,1,24,8,4.03,11.97,Bogotá,Campaña_Vaso_Vertical,Entregado,1,January,Sunday,2
ORD-1132,2026-02-06 11:28:00,CLI-5177,P002,Mini Bicicleta Premium,Fitness,1,120,45,10.59,64.41,Bucaramanga,Campaña_Bici_Carrusel,Entregado,2,February,Friday,6
ORD-1133,2025-12-25 12:06:00,CLI-5028,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,6.14,17.86,Bogotá,Campaña_Vaso_Vertical,Entregado,12,December,Thursday,52
ORD-1134,2026-04-29 09:25:00,CLI-5037,P002,Mini Bicicleta Premium,Fitness,1,120,45,12.17,62.83,Barranquilla,Campaña_Vaso_Vertical,Entregado,4,April,Wednesday,18
ORD-1135,2026-01-01 13:52:00,CLI-6916,P003,Soporte Magnético Carga,Auto,2,48,16,4.77,27.23,Bogotá,Campaña_Vaso_Vertical,Entregado,1,January,Thursday,1
ORD-1136,2026-04-15 16:45:00,CLI-6232,P003,Soporte Magnético Carga,Auto,2,48,16,4.64,-20.64,Bogotá,Campaña_Vaso_Vertical,Devuelto,4,April,Wednesday,16
ORD-1137,2026-01-15 07:33:00,CLI-5497,P003,Soporte Magnético Carga,Auto,1,24,8,4.51,11.49,Medellín,Campaña_Vaso_Vertical,Entregado,1,January,Thursday,3
ORD-1138,2026-02-03 16:09:00,CLI-5143,P001,Vaso Térmico Inteligente Auto,Auto,1,39,15,5.41,18.59,Medellín,Campaña_Vaso_Vertical,Entregado,2,February,Tuesday,6
