ID_Orden,Fecha,ID_Cliente,ID_Producto,Nombre_Producto,Categoria,Cantidad,Precio_Unitario,COGS_Unitario,Costo_Envio,Ciudad_Destino,Fuente_Adquisicion,Estado_Envio
ORD-2907,2026-02-08 07:49:30,CLI-6196,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.49,7.91,5.46,Cali,Organico_Instagram,Entregado
ORD-1879,2025-12-14 15:19:59,CLI-5209,P001,Vaso Termico Inteligente Auto,Auto,2,39.92,15.29,13.2,Bucaramanga,Directo,Entregado
ORD-2929,2026-02-10 04:54:09,CLI-5974,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.83,7.6,8.11,Cali,Organico_Instagram,Entregado
ORD-2436,2026-01-09 13:55:17,CLI-6857,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.82,8.39,6.93,Medellin,Organico_Instagram,Entregado
ORD-1812,2025-12-12 04:38:50,CLI-6060,P002,Mini Bicicleta Premium,Fitness,1,116.63,43.58,7.36,Bogota,Directo,En transito
ORD-1211,2025-11-12 02:37:34,CLI-5152,P001,Vaso Termico Inteligente Auto,Auto,1,41.74,14.88,3.75,Bogota,Organico_Instagram,Retrasado
ORD-2731,2026-01-29 02:14:33,CLI-5433,P002,Mini Bicicleta Premium,Fitness,1,114.07,42.86,7.7,Cali,Organico_Instagram,Entregado
ORD-2402,2026-01-07 08:03:53,CLI-5826,P001,Vaso Termico Inteligente Auto,Auto,1,39.96,15.27,3.06,Medellin,Campana_Vaso_Vertical,Entregado
ORD-2292,2025-12-30 00:53:23,CLI-5715,P004,Cojin Ergonomico Gel,Oficina/Auto,1,34.63,12.53,5.75,Bucaramanga,Directo,Entregado
ORD-1501,2025-11-29 08:35:23,CLI-6551,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.62,8.55,8.39,Cali,Organico_Instagram,Entregado
ORD-3254,2026-02-28 16:24:24,CLI-5375,P001,Vaso Termico Inteligente Auto,Auto,1,35.89,16.03,3.0,Medellin,Directo,Entregado
ORD-2747,2026-01-31 14:33:23,CLI-6157,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.04,8.32,7.94,Bucaramanga,Directo,Entregado
ORD-3459,2026-03-11 11:26:40,CLI-6691,P002,Mini Bicicleta Premium,Fitness,2,127.74,45.51,9.59,Bogota,Organico_Instagram,En transito
ORD-1657,2025-12-06 23:37:22,CLI-5133,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.44,8.05,3.0,Medellin,Directo,Entregado
ORD-1650,2025-12-05 10:49:06,CLI-6120,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.04,8.27,6.82,Bogota,Organico_Instagram,Retrasado
ORD-3937,2026-04-03 21:35:29,CLI-6551,P004,Cojin Ergonomico Gel,Oficina/Auto,1,35.12,12.79,8.15,Barranquilla,Campana_Bici_Carrusel,Entregado
ORD-4078,2026-04-10 15:59:21,CLI-6697,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.42,8.51,9.03,Cali,Organico_Instagram,Entregado
ORD-3963,2026-04-04 07:08:56,CLI-6150,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.67,8.13,5.43,Bogota,Organico_Instagram,Entregado
ORD-3576,2026-03-15 06:42:23,CLI-6121,P002,Mini Bicicleta Premium,Fitness,1,128.63,44.78,,Bucaramanga,Campana_Bici_Carrusel,Entregado
ORD-2258,2025-12-29 17:46:22,CLI-6744,P003,Soporte Magnetico Carga,Oficina/Auto,2,22.33,8.08,9.47,Bogota,Campana_Bici_Carrusel,Entregado
ORD-2539,2026-01-16 01:24:31,CLI-6266,P002,Mini Bicicleta Premium,Fitness,1,128.16,48.12,8.15,Medellin,Campana_Bici_Carrusel,Entregado
ORD-2723,2026-01-29 01:43:24,CLI-5569,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.33,7.83,5.84,Cali,Organico_Instagram,Entregado
ORD-2221,2025-12-27 05:23:06,CLI-5399,P002,Mini Bicicleta Premium,Fitness,1,126.45,45.17,5.07,Barranquilla,Campana_Bici_Carrusel,Entregado
ORD-3473,2026-03-11 10:24:27,CLI-5322,P001,Vaso Termico Inteligente Auto,Auto,1,38.05,15.17,9.93,Cali,Directo,Entregado
ORD-2925,2026-02-10 12:29:43,CLI-5286,P002,Mini Bicicleta Premium,Fitness,1,116.11,43.42,5.57,Bogota,Campana_Bici_Carrusel,Entregado
ORD-1026,2025-11-02 14:10:01,CLI-5398,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.42,7.83,5.1,Medellin,Directo,Entregado
ORD-1387,2025-11-23 21:43:19,CLI-5592,P001,Vaso Termico Inteligente Auto,Auto,1,42.01,15.83,6.36,Medellin,Campana_Vaso_Vertical,En transito
ORD-4291,2026-04-21 03:20:11,CLI-6118,P001,Vaso Termico Inteligente Auto,Auto,1,41.99,14.81,8.9,Bucaramanga,Campana_Vaso_Vertical,Entregado
ORD-2973,2026-02-12 07:46:10,CLI-6856,P002,Mini Bicicleta Premium,Fitness,1,124.72,44.12,4.25,Bogota,Campana_Bici_Carrusel,Entregado
ORD-1032,2025-11-02 01:17:57,CLI-5553,P001,Vaso Termico Inteligente Auto,Auto,1,38.04,15.42,6.51,Cali,Organico_Instagram,Entregado
ORD-1840,2025-12-13 08:18:18,CLI-5461,P001,Vaso Termico Inteligente Auto,Auto,1,40.07,15.8,3.89,Bogota,Campana_Vaso_Vertical,Entregado
ORD-2061,2025-12-21 15:05:22,CLI-5078,P001,Vaso Termico Inteligente Auto,Auto,1,40.47,15.42,4.67,Barranquilla,Directo,Entregado
ORD-1051,2025-11-03 19:58:07,CLI-5412,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.81,8.55,6.47,Bogota,Organico_Instagram,Entregado
ORD-3956,2026-04-04 11:24:30,CLI-5325,P001,Vaso Termico Inteligente Auto,Auto,1,38.91,14.66,6.32,Bogota,Organico_Instagram,Entregado
ORD-3743,2026-03-24 00:28:16,CLI-5996,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.43,8.3,5.87,Medellin,Organico_Instagram,Entregado
ORD-1093,2025-11-05 20:52:24,CLI-5288,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.79,7.63,4.75,Cali,Organico_Instagram,Entregado
ORD-4362,2026-04-24 20:05:42,CLI-5384,P001,Vaso Termico Inteligente Auto,Auto,1,37.1,14.98,4.07,Bogota,Organico_Instagram,Entregado
ORD-2677,2026-01-26 23:04:05,CLI-6862,P002,Mini Bicicleta Premium,Fitness,1,112.54,46.3,4.6,Medellin,Organico_Instagram,Entregado
ORD-1134,2025-11-07 13:51:22,CLI-6941,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.86,8.13,5.05,Bogota,Campana_Bici_Carrusel,Entregado
ORD-1952,2025-12-17 03:47:31,CLI-5164,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.64,8.26,5.17,Barranquilla,Organico_Instagram,Entregado
ORD-3801,2026-03-27 13:16:56,CLI-6338,P001,Vaso Termico Inteligente Auto,Auto,1,39.84,15.58,6.95,Medellin,Campana_Vaso_Vertical,Entregado
ORD-4081,2026-04-11 20:06:18,CLI-5517,P002,Mini Bicicleta Premium,Fitness,1,117.33,47.72,3.73,Bogota,Directo,Entregado
ORD-1203,2025-11-11 21:46:28,CLI-5033,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.49,7.75,8.51,Cali,Directo,Retrasado
ORD-1680,2025-12-07 18:20:58,CLI-5141,P001,Vaso Termico Inteligente Auto,Auto,1,41.8,15.06,3.0,Bogota,Campana_Vaso_Vertical,Entregado
ORD-3759,2026-03-25 17:16:12,CLI-6060,P004,Cojin Ergonomico Gel,Oficina/Auto,1,35.16,12.07,7.26,Medellin,Directo,Entregado
ORD-2271,2025-12-29 06:30:37,CLI-6450,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.75,8.16,3.97,Medellin,Organico_Instagram,Entregado
ORD-2788,2026-02-02 05:24:48,CLI-6797,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.78,8.13,7.34,Barranquilla,Campana_Vaso_Vertical,Retrasado
ORD-1867,2025-12-14 08:26:16,CLI-5934,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.03,8.14,11.0,Bucaramanga,Organico_Instagram,Entregado
ORD-1270,2025-11-16 14:42:15,CLI-5530,P001,Vaso Termico Inteligente Auto,Auto,1,37.96,16.0,6.68,Medellin,Directo,Entregado
ORD-1905,2025-12-15 03:12:35,CLI-5024,P004,Cojin Ergonomico Gel,Oficina/Auto,1,32.34,12.8,9.63,Cali,Organico_Instagram,Entregado
ORD-3599,2026-03-16 15:42:06,CLI-5988,P001,Vaso Termico Inteligente Auto,Auto,1,37.19,15.12,9.27,Bogota,Organico_Instagram,Entregado
ORD-3276,01/03/2026 01:13:59,CLI-5453,P002,Mini Bicicleta Premium,Fitness,1,111.26,43.04,4.13,Barranquilla,Organico_Instagram,En transito
ORD-3800,2026-03-27 07:59:18,CLI-6114,P001,Vaso Termico Inteligente Auto,Auto,1,39.46,14.62,6.25,Bogota,Organico_Instagram,Entregado
ORD-1196,2025-11-11 14:28:15,CLI-5308,P002,Mini Bicicleta Premium,Fitness,1,112.3,44.99,5.19,Bogota,Organico_Instagram,Entregado
ORD-2874,2026-02-07 13:17:44,CLI-5110,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.2,8.43,4.72,Medellin,Organico_Instagram,Entregado
ORD-2494,2026-01-13 02:19:40,CLI-5189,P001,Vaso Termico Inteligente Auto,Auto,1,41.42,14.59,5.2,Barranquilla,Directo,Entregado
ORD-4213,2026-04-17 10:53:13,CLI-6952,P001,Vaso Termico Inteligente Auto,Auto,1,39.36,15.77,6.34,Medellin,Organico_Instagram,Entregado
ORD-4058,2026-04-09 06:01:40,CLI-6553,P001,Vaso Termico Inteligente Auto,Auto,1,37.53,15.19,5.52,Cali,Campana_Bici_Carrusel,Entregado
ORD-2812,2026-02-03 09:37:50,CLI-6517,P001,Vaso Termico Inteligente Auto,Auto,1,36.34,14.85,7.45,Cali,Campana_Vaso_Vertical,Entregado
ORD-3843,2026-03-29 19:05:03,CLI-5215,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.61,8.29,9.47,Barranquilla,Directo,Entregado
ORD-1573,2025-12-02 11:15:49,CLI-5928,P004,Cojin Ergonomico Gel,Oficina/Auto,1,35.98,12.36,9.08,Medellin,Organico_Instagram,Entregado
ORD-3717,2026-03-22 13:55:55,CLI-6886,P002,Mini Bicicleta Premium,Fitness,1,111.93,46.85,9.22,Bucaramanga,Campana_Bici_Carrusel,En transito
ORD-2681,2026-01-26 20:43:13,CLI-6996,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.18,8.38,5.91,Barranquilla,Organico_Instagram,Entregado
ORD-4400,2026-04-26 15:20:11,CLI-5065,P002,Mini Bicicleta Premium,Fitness,1,128.65,47.14,8.3,Bucaramanga,Organico_Instagram,Entregado
ORD-4454,2026-04-28 20:58:09,CLI-5463,P001,Vaso Termico Inteligente Auto,Auto,1,37.87,15.11,6.99,Medellin,Organico_Instagram,En transito
ORD-1450,2025-11-25 07:03:27,CLI-5310,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.54,7.95,12.89,Barranquilla,Organico_Instagram,Entregado
ORD-2703,2026-01-27 12:21:41,CLI-6830,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.53,7.88,7.32,Bucaramanga,Organico_Instagram,En transito
ORD-3606,2026-03-16 14:20:46,CLI-6405,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.47,8.15,4.4,Barranquilla,Organico_Instagram,Entregado
ORD-1321,2025-11-19 04:38:59,CLI-6159,P001,Vaso Termico Inteligente Auto,Auto,1,38.27,15.14,5.24,Bucaramanga,Organico_Instagram,Entregado
ORD-2910,2026-02-08 12:33:39,CLI-5447,P001,Vaso Termico Inteligente Auto,Auto,1,36.15,15.51,4.16,Medellin,Organico_Instagram,Entregado
ORD-2545,2026-01-16 07:08:49,CLI-6187,P001,Vaso Termico Inteligente Auto,Auto,1,37.86,14.74,10.71,Cali,Campana_Vaso_Vertical,Entregado
ORD-2811,2026-02-03 06:09:41,CLI-6514,P001,Vaso Termico Inteligente Auto,Auto,1,41.99,14.84,4.98,Medellin,Directo,Entregado
ORD-1179,2025-11-10 20:02:33,CLI-5782,P002,Mini Bicicleta Premium,Fitness,1,123.0,44.67,7.89,Barranquilla,Directo,Devuelto
ORD-2174,2025-12-25 16:57:53,CLI-5968,P001,Vaso Termico Inteligente Auto,Auto,1,37.24,15.41,5.58,Medellin,Organico_Instagram,Entregado
ORD-4173,2026-04-14 04:29:21,CLI-6679,P002,Mini Bicicleta Premium,Fitness,1,123.2,44.89,3.38,Cali,Organico_Instagram,Entregado
ORD-2765,2026-02-01 19:05:04,CLI-6523,P002,Mini Bicicleta Premium,Fitness,1,121.73,45.89,3.88,Bogota,Campana_Bici_Carrusel,En transito
ORD-2657,2026-01-25 08:26:03,CLI-5333,P004,Cojin Ergonomico Gel,Oficina/Auto,1,36.55,11.49,7.27,Medellin,Organico_Instagram,Entregado
ORD-2766,2026-02-01 20:46:18,CLI-5383,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.12,8.22,6.52,,Organico_Instagram,Entregado
ORD-3764,2026-03-25 00:14:29,CLI-6634,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.85,8.3,6.59,Cali,Campana_Bici_Carrusel,Entregado
ORD-4446,2026-04-28 02:01:32,CLI-6834,P002,Mini Bicicleta Premium,Fitness,1,121.06,45.81,6.78,Medellin,Campana_Bici_Carrusel,Entregado
ORD-1511,2025-11-29 06:04:36,CLI-5228,P001,Vaso Termico Inteligente Auto,Auto,1,36.29,14.89,4.57,Bogota,Directo,Entregado
ORD-2948,2026-02-11 23:05:54,CLI-5942,P001,Vaso Termico Inteligente Auto,Auto,1,35.96,14.26,6.27,Barranquilla,Organico_Instagram,Entregado
ORD-1298,2025-11-18 02:42:54,CLI-5589,P001,Vaso Termico Inteligente Auto,Auto,1,41.13,14.31,4.25,Bogota,Campana_Bici_Carrusel,Entregado
ORD-2780,2026-02-02 22:18:45,CLI-6739,P001,Vaso Termico Inteligente Auto,Auto,1,36.33,14.89,9.52,Bucaramanga,Campana_Vaso_Vertical,Entregado
ORD-3726,2026-03-23 03:04:29,CLI-5426,P002,Mini Bicicleta Premium,Fitness,1,120.74,47.39,6.62,Cali,Campana_Bici_Carrusel,Entregado
ORD-3858,2026-03-30 12:30:49,CLI-6993,P001,Vaso Termico Inteligente Auto,Auto,1,39.2,14.7,10.67,Barranquilla,Organico_Instagram,Entregado
ORD-3776,2026-03-25 07:05:08,CLI-5826,P002,Mini Bicicleta Premium,Fitness,1,120.4,43.06,10.8,Barranquilla,Organico_Instagram,Entregado
ORD-2980,2026-02-13 10:35:10,CLI-5936,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.08,7.8,7.14,Barranquilla,Directo,En transito
ORD-3186,2026-02-24 05:42:29,CLI-5903,P002,Mini Bicicleta Premium,Fitness,2,113.91,46.49,5.82,Medellin,Campana_Bici_Carrusel,Entregado
ORD-2429,2026-01-09 01:01:17,CLI-6598,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.29,7.71,9.36,Barranquilla,Organico_Instagram,Entregado
ORD-1691,2025-12-07 03:37:29,CLI-5631,P001,Vaso Termico Inteligente Auto,Auto,1,39.69,15.68,3.39,Bogota,Organico_Instagram,Entregado
ORD-1314,2025-11-19 00:06:43,CLI-5994,P001,Vaso Termico Inteligente Auto,Auto,1,38.19,14.56,5.94,Medellin,Directo,Entregado
ORD-1644,2025-12-05 10:51:35,CLI-5013,P004,Cojin Ergonomico Gel,Oficina/Auto,3,36.03,12.48,14.32,Barranquilla,Directo,Entregado
ORD-4090,2026-04-11 19:16:33,CLI-6202,P001,Vaso Termico Inteligente Auto,Auto,1,39.31,15.49,5.84,Bogota,Organico_Instagram,Entregado
ORD-3342,2026-03-05 17:48:34,CLI-6220,P001,Vaso Termico Inteligente Auto,Auto,1,35.95,15.44,5.87,Cali,Organico_Instagram,Entregado
ORD-2593,2026-01-20 00:05:41,CLI-6134,P002,Mini Bicicleta Premium,Fitness,1,126.75,45.81,5.17,Bogota,Campana_Bici_Carrusel,Retrasado
ORD-4275,2026-04-20 06:27:48,CLI-6774,P001,Vaso Termico Inteligente Auto,Auto,1,40.91,15.32,4.54,Medellin,Organico_Instagram,Entregado
ORD-1052,2025-11-03 12:37:40,CLI-6935,P001,Vaso Termico Inteligente Auto,Auto,1,42.09,15.89,3.75,Bucaramanga,Campana_Bici_Carrusel,Entregado
ORD-3493,2026-03-12 00:36:20,CLI-5702,P002,Mini Bicicleta Premium,Fitness,1,117.74,43.65,6.44,Bogota,Campana_Bici_Carrusel,Devuelto
ORD-1948,2025-12-17 14:37:51,CLI-5472,P001,Vaso Termico Inteligente Auto,Auto,1,37.83,15.05,3.83,Bogota,Campana_Vaso_Vertical,Entregado
ORD-4424,2026-04-27 01:08:00,CLI-6652,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.11,8.11,5.43,Bogota,Directo,En transito
ORD-1291,2025-11-17 21:59:19,CLI-6343,P001,Vaso Termico Inteligente Auto,Auto,1,37.93,14.5,8.2,Bogota,Campana_Vaso_Vertical,Retrasado
ORD-3256,2026-02-28 13:21:34,CLI-6877,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.44,7.62,6.7,Cali,Organico_Instagram,Entregado
ORD-2406,2026-01-07 18:22:59,CLI-6670,P001,Vaso Termico Inteligente Auto,Auto,1,37.25,15.48,5.87,Bogota,Organico_Instagram,Entregado
ORD-3230,2026-02-27 11:28:20,CLI-5086,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.1,8.55,5.83,Medellin,Organico_Instagram,En transito
ORD-1144,2025-11-08 23:27:32,CLI-5869,P001,Vaso Termico Inteligente Auto,Auto,1,36.65,15.21,8.69,Bogota,Campana_Bici_Carrusel,Entregado
ORD-2228,2025-12-27 11:43:26,CLI-5381,P002,Mini Bicicleta Premium,Fitness,1,125.35,46.85,4.12,Cali,Campana_Bici_Carrusel,Devuelto
ORD-2662,2026-01-25 13:56:21,CLI-5471,P002,Mini Bicicleta Premium,Fitness,1,122.16,43.84,6.83,Cali,Organico_Instagram,Entregado
ORD-1076,2025-11-04 09:07:10,CLI-5656,P003,Soporte Magnetico Carga,Oficina/Auto,1,22.56,7.86,10.73,Barranquilla,Organico_Instagram,Retrasado
ORD-2071,2025-12-21 06:25:12,CLI-5666,P001,Vaso Termico Inteligente Auto,Auto,1,36.65,15.01,6.33,Cali,Organico_Instagram,Entregado
ORD-1438,2025-11-25 08:17:46,CLI-5945,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.52,8.48,6.32,Bogota,Campana_Vaso_Vertical,Entregado
ORD-1017,2025-11-01 22:59:26,CLI-6969,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.55,8.04,7.67,Medellin,Campana_Vaso_Vertical,Entregado
ORD-3481,2026-03-12 22:28:11,CLI-6670,P003,Soporte Magnetico Carga,Oficina/Auto,2,24.02,7.76,9.88,Medellin,Directo,Entregado
ORD-2675,2026-01-26 19:21:31,CLI-6360,P001,Vaso Termico Inteligente Auto,Auto,1,35.88,15.38,5.46,Medellin,,Entregado
ORD-1549,2025-12-01 07:31:30,CLI-6928,P002,Mini Bicicleta Premium,Fitness,1,118.56,44.16,6.78,Bogota,Organico_Instagram,Entregado
ORD-4077,2026-04-10 07:31:33,CLI-6922,P001,Vaso Termico Inteligente Auto,Auto,1,39.62,15.2,9.54,BARRANQUILLA,Campana_Vaso_Vertical,Entregado
ORD-2610,2026-01-21 05:22:13,CLI-5010,P001,Vaso Termico Inteligente Auto,Auto,1,41.49,14.31,7.08,bogota,Organico_Instagram,Entregado
ORD-1809,2025-12-12 18:05:12,CLI-6408,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.21,7.63,9.96,bogota,Organico_Instagram,Entregado
ORD-1184,2025-11-10 04:50:24,CLI-6437,P003,Soporte Magnetico Carga,Oficina/Auto,1,23.74,8.16,5.02,Medellin,Directo,Entregado
ORD-3471,2026-03-11 16:41:06,CLI-5218,P003,Soporte Magnetico Carga,Oficina/Auto,1,25.58,7.89,3.0,Medellin,Organico_Instagram,Entregado
ORD-2558,2026-01-17 11:42:28,CLI-5485,P002,Mini Bicicleta Premium,Fitness,1,116.66,45.08,12.69,Bucaramanga,Organico_Instagram,Entregado
ORD-1279,2025-11-17 00:02:29,CLI-5523,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.9,7.75,4.79,Bogota,Campana_Bici_Carrusel,Entregado
ORD-1443,2025-11-25 20:58:25,CLI-5471,P003,Soporte Magnetico Carga,Oficina/Auto,1,24.27,8.55,8.2,Barranquilla,Campana_Bici_Carrusel,Entregado
ORD-1811,2025-12-12 23:10:28,CLI-5610,P001,Vaso Termico Inteligente Auto,Auto,1,39.54,15.48,3.0,Bogota,Organico_Instagram,Entregado
